TeamName,TeamID,Season,G,W,L,FGM,FGA,FG%,FGM3,FGA3,FG3%,FTM,FTA,FT%,OR,DR,Ast,TO,Stl,Blk,PF,OFGM,OFGA,OFGM3,OFGA3,OFTM,OFTA,OOR,ODR,OAst,OTO,OStl,OBlk,OPF
Akron,1103,2014,33,21,12,777,1799,43.190661478599225,234,673,34.76968796433878,453,733,61.80081855388813,406,748,368,436,218,139,588,777,1814,161,495,464,647,357,745,358,430,216,104,634
Akron,1103,2015,34,20,14,787,1916,41.07515657620042,320,916,34.93449781659389,396,600,66.0,407,814,422,414,213,152,641,732,1808,183,554,503,741,374,817,355,415,237,96,573
Akron,1103,2016,33,25,8,856,1974,43.36372847011145,389,999,38.93893893893894,418,606,68.97689768976898,340,862,479,357,176,127,589,827,1966,196,647,429,635,370,854,379,381,193,78,586
Akron,1103,2017,33,25,8,867,1858,46.66307857911733,333,901,36.958934517203105,463,683,67.7891654465593,324,811,479,384,179,103,606,839,1881,227,625,444,630,319,771,372,373,194,62,622
Akron,1103,2018,31,13,18,765,1769,43.244771057094404,293,826,35.47215496368039,387,556,69.60431654676259,297,728,401,429,185,74,621,810,1732,253,701,489,676,289,788,414,403,198,113,539
Alabama,1104,2014,31,12,19,704,1606,43.83561643835616,178,535,33.271028037383175,482,706,68.27195467422096,307,700,334,367,209,131,594,703,1669,164,534,515,689,368,716,371,388,176,126,589
Alabama,1104,2015,31,17,14,683,1558,43.838254172015404,204,635,32.125984251968504,496,687,72.19796215429403,295,716,321,375,195,112,598,673,1613,195,601,459,646,330,687,366,375,156,72,606
Alabama,1104,2016,32,18,14,721,1690,42.662721893491124,251,732,34.2896174863388,446,697,63.98852223816356,313,796,338,426,180,169,618,740,1818,206,628,484,723,416,798,358,387,183,92,630
Alabama,1104,2017,33,19,14,784,1850,42.37837837837838,218,686,31.778425655976676,480,739,64.95263870094723,406,887,377,458,198,139,651,720,1796,202,609,487,727,325,785,315,448,208,100,652
Alabama,1104,2018,34,19,15,860,1877,45.81779435269046,217,669,32.436472346786246,523,778,67.22365038560412,341,893,426,481,218,186,646,822,1991,236,739,499,733,394,833,395,448,224,128,679
Alabama A&M,1105,2014,28,12,16,603,1487,40.551445864156015,171,529,32.32514177693762,410,618,66.34304207119742,275,667,351,371,169,114,615,599,1468,129,411,552,801,346,721,271,378,183,89,541
Alabama A&M,1105,2015,28,8,20,579,1474,39.280868385346,161,554,29.061371841155236,397,613,64.76345840130506,348,602,337,396,158,66,553,693,1520,147,443,391,628,345,640,336,332,195,83,536
Alabama A&M,1105,2016,28,10,18,651,1573,41.38588684043229,165,583,28.30188679245283,412,604,68.21192052980132,319,645,354,329,157,60,542,697,1537,160,498,399,608,299,689,337,316,165,79,566
Alabama A&M,1105,2017,29,2,27,630,1565,40.2555910543131,125,457,27.35229759299781,409,614,66.61237785016287,299,634,330,384,103,52,526,822,1736,214,590,397,583,362,716,423,272,204,111,533
Alabama A&M,1105,2018,31,3,28,673,1696,39.681603773584904,182,601,30.282861896838604,345,533,64.72795497185741,335,711,340,514,123,49,506,881,1843,228,595,377,549,343,783,460,353,237,151,529
Alabama St,1106,2014,28,16,12,676,1630,41.47239263803681,149,527,28.27324478178368,456,667,68.36581709145428,364,622,338,339,187,99,516,699,1554,144,466,435,619,336,705,337,410,161,86,571
Alabama St,1106,2015,27,17,10,696,1603,43.41859014348098,154,435,35.40229885057471,363,555,65.4054054054054,360,700,362,370,164,113,486,645,1545,159,473,359,550,290,641,325,360,197,79,495
Alabama St,1106,2016,29,12,17,719,1801,39.922265408106604,201,606,33.16831683168317,393,567,69.31216931216932,368,713,343,350,166,110,619,745,1625,174,515,476,728,308,798,383,375,175,108,508
Alabama St,1106,2017,30,7,23,693,1780,38.93258426966292,191,649,29.42989214175655,390,615,63.41463414634146,417,735,284,467,146,90,613,774,1726,190,551,499,735,342,790,385,382,215,91,551
Alabama St,1106,2018,31,8,23,751,1838,40.859630032644176,209,638,32.758620689655174,418,647,64.60587326120556,394,737,313,437,169,130,648,813,1795,238,631,573,836,392,840,418,401,207,119,590
Albany NY,1107,2014,32,18,14,718,1635,43.91437308868502,157,431,36.42691415313225,520,695,74.82014388489209,331,775,354,404,177,98,552,728,1739,221,627,366,507,318,691,395,383,187,97,616
Albany NY,1107,2015,32,24,8,706,1605,43.98753894080997,197,547,36.01462522851919,487,640,76.09375,320,756,334,374,181,52,528,672,1600,243,666,340,486,259,665,370,399,153,110,604
Albany NY,1107,2016,31,23,8,781,1713,45.59252772913018,177,547,32.35831809872029,574,766,74.93472584856397,363,822,386,394,201,49,545,752,1771,214,702,319,476,291,666,376,404,168,126,660
Albany NY,1107,2017,33,20,13,848,1814,46.74751929437707,178,483,36.85300207039337,470,616,76.2987012987013,351,807,415,392,169,56,589,766,1750,263,761,391,550,251,697,419,382,189,133,602
Albany NY,1107,2018,31,21,10,802,1764,45.46485260770975,177,481,36.7983367983368,492,652,75.4601226993865,360,783,388,364,146,91,504,784,1751,205,629,332,475,252,681,420,354,173,132,606
Alcorn St,1108,2014,28,9,19,604,1473,41.00475220638153,124,412,30.097087378640776,402,610,65.90163934426229,269,580,250,325,152,104,529,658,1493,162,465,443,618,306,671,352,349,146,74,475
Alcorn St,1108,2015,30,5,25,666,1717,38.78858474082703,146,514,28.404669260700388,423,644,65.6832298136646,339,618,261,350,176,81,539,792,1679,189,495,452,671,347,784,402,377,156,100,525
Alcorn St,1108,2016,28,13,15,640,1586,40.3530895334174,168,543,30.939226519337016,416,609,68.30870279146141,361,649,254,402,125,109,516,696,1567,206,558,437,622,304,675,371,330,197,90,537
Alcorn St,1108,2017,29,15,14,706,1671,42.25014961101137,190,594,31.986531986531986,360,548,65.69343065693431,342,751,360,408,183,95,558,704,1657,160,530,434,659,340,730,392,371,200,75,497
Alcorn St,1108,2018,28,7,21,658,1562,42.12548015364917,195,585,33.333333333333336,381,527,72.29601518026566,264,664,330,408,163,76,547,724,1624,243,666,466,652,328,711,427,350,176,91,489
American Univ,1110,2014,32,20,12,737,1490,49.46308724832215,203,531,38.22975517890772,369,520,70.96153846153847,228,734,484,447,193,110,551,645,1569,151,482,435,646,313,618,323,388,225,78,564
American Univ,1110,2015,33,17,16,683,1479,46.17985125084517,213,571,37.3029772329247,359,509,70.53045186640472,188,640,408,370,196,84,484,706,1552,173,505,348,513,294,689,361,416,167,91,562
American Univ,1110,2016,31,12,19,631,1487,42.434431741761934,195,572,34.09090909090909,328,471,69.63906581740977,218,656,348,428,176,69,567,735,1568,147,473,419,628,284,708,362,372,225,75,531
American Univ,1110,2017,30,8,22,692,1542,44.87678339818417,168,529,31.75803402646503,293,474,61.81434599156118,204,664,339,396,209,73,549,716,1528,172,468,445,632,258,738,384,396,198,84,493
American Univ,1110,2018,30,6,24,698,1615,43.21981424148607,239,709,33.70944992947814,326,491,66.39511201629328,242,627,367,413,217,98,551,776,1595,199,519,464,650,286,773,412,413,208,108,499
Appalachian St,1111,2014,26,5,21,583,1456,40.04120879120879,121,412,29.368932038834952,381,599,63.60601001669449,333,575,255,327,156,67,526,664,1398,146,394,407,603,264,661,344,329,153,112,517
Appalachian St,1111,2015,29,12,17,637,1602,39.76279650436954,186,588,31.632653061224488,381,538,70.817843866171,330,680,318,398,122,61,551,735,1604,152,472,411,602,291,723,364,332,180,93,556
Appalachian St,1111,2016,31,9,22,719,1795,40.05571030640669,256,720,35.55555555555556,493,701,70.32810271041369,393,747,358,462,127,103,667,856,1852,183,474,503,738,357,798,374,349,197,116,673
Appalachian St,1111,2017,28,7,21,669,1647,40.619307832422585,223,683,32.650073206442165,412,610,67.54098360655738,314,711,357,390,141,78,612,749,1589,182,466,491,712,264,773,369,340,171,102,570
Appalachian St,1111,2018,31,13,18,786,1841,42.69418794133623,264,793,33.29129886506936,454,678,66.96165191740413,347,814,368,419,169,103,586,824,1823,223,587,486,668,283,836,396,384,205,100,633
Arizona,1112,2014,34,30,4,892,1904,46.84873949579832,180,505,35.64356435643565,520,794,65.4911838790932,428,894,513,355,200,144,559,693,1819,150,477,441,627,314,721,312,422,162,108,633
Arizona,1112,2015,34,31,3,908,1855,48.94878706199461,172,478,35.98326359832636,611,874,69.90846681922197,368,898,483,381,244,122,609,686,1752,181,551,440,636,258,710,335,481,159,87,718
Arizona,1112,2016,33,25,8,926,1922,48.1789802289282,215,562,38.256227758007114,613,848,72.2877358490566,384,944,479,423,162,158,601,829,2007,201,626,418,587,313,711,403,383,178,114,726
Arizona,1112,2017,34,30,4,891,1873,47.57074212493326,229,576,39.75694444444444,582,768,75.78125,350,900,469,389,187,110,577,808,1945,218,712,391,567,319,699,430,405,161,102,673
Arizona,1112,2018,34,27,7,980,1939,50.541516245487365,235,624,37.66025641025641,555,730,76.02739726027397,341,905,518,418,169,155,595,856,1985,246,699,462,631,302,684,430,396,210,90,676
Arizona St,1113,2014,32,21,11,809,1796,45.0445434298441,260,673,38.63298662704309,523,754,69.36339522546419,270,870,454,367,165,181,617,790,1903,170,524,454,705,375,846,370,385,178,130,634
Arizona St,1113,2015,32,17,15,756,1701,44.44444444444444,218,626,34.82428115015974,492,736,66.84782608695652,343,764,414,444,189,73,606,768,1707,176,485,414,596,266,733,395,415,196,134,675
Arizona St,1113,2016,32,15,17,796,1919,41.47993746743095,254,756,33.597883597883595,499,726,68.73278236914601,394,783,405,384,170,86,654,830,1812,224,634,483,690,302,857,483,411,186,150,670
Arizona St,1113,2017,33,15,18,888,2047,43.38055691255496,328,896,36.607142857142854,489,653,74.88514548238898,304,773,430,344,194,106,558,978,2041,304,835,435,611,367,944,621,439,171,130,604
Arizona St,1113,2018,31,20,11,867,1868,46.41327623126338,277,761,36.399474375821285,578,783,73.81864623243933,307,785,439,332,204,111,587,821,1870,255,746,438,605,348,786,469,463,167,109,673
Ark Little Rock,1114,2014,30,13,17,718,1718,41.79278230500582,145,466,31.11587982832618,529,713,74.19354838709677,341,751,336,402,173,114,657,714,1663,233,667,578,835,328,749,410,389,210,116,598
Ark Little Rock,1114,2015,30,12,18,712,1714,41.540256709451576,208,612,33.98692810457516,437,616,70.94155844155844,314,707,363,314,171,79,573,726,1631,213,584,451,666,321,789,379,402,140,83,558
Ark Little Rock,1114,2016,31,27,4,776,1698,45.70082449941107,228,589,38.70967741935484,390,531,73.44632768361582,270,750,400,317,195,95,566,624,1596,192,638,422,612,323,732,323,426,125,85,536
Ark Little Rock,1114,2017,30,13,17,708,1633,43.35578689528475,186,550,33.81818181818182,389,528,73.67424242424242,285,695,342,387,172,109,547,697,1552,213,588,452,626,265,717,377,393,164,78,488
Ark Little Rock,1114,2018,30,6,24,681,1627,41.85617701290719,182,573,31.762652705061083,321,523,61.376673040152966,297,715,347,440,139,87,587,708,1639,248,707,448,665,324,753,404,403,169,113,502
Ark Pine Bluff,1115,2014,29,11,18,619,1510,40.99337748344371,180,528,34.09090909090909,406,620,65.48387096774194,293,592,333,437,275,62,565,685,1450,196,532,504,735,297,710,434,469,217,128,519
Ark Pine Bluff,1115,2015,32,12,20,656,1638,40.04884004884005,203,611,33.224222585924714,397,584,67.97945205479452,325,601,323,489,283,108,623,705,1583,210,569,520,773,392,744,416,518,240,87,546
Ark Pine Bluff,1115,2016,33,8,25,674,1722,39.14053426248548,202,666,30.33033033033033,317,519,61.078998073217726,322,682,317,516,235,124,724,747,1701,180,557,648,913,408,840,441,438,271,99,524
Ark Pine Bluff,1115,2017,30,6,24,641,1607,39.88799004355943,196,569,34.44639718804921,342,527,64.89563567362428,314,618,301,538,255,81,674,690,1507,193,592,623,882,338,736,410,488,289,91,483
Ark Pine Bluff,1115,2018,35,14,21,815,1863,43.74664519592056,217,660,32.878787878787875,460,681,67.54772393538913,279,749,427,497,275,144,684,831,1919,227,690,610,858,446,890,489,534,274,68,610
Arkansas,1116,2014,32,21,11,871,1962,44.39347604485219,241,657,36.68188736681888,585,807,72.4907063197026,375,764,492,374,276,179,669,759,1868,201,582,560,810,457,813,357,551,175,102,653
Arkansas,1116,2015,34,26,8,932,2083,44.74315890542487,227,648,35.03086419753087,562,776,72.42268041237114,442,774,549,399,264,162,645,824,1914,212,600,525,736,402,800,427,543,188,100,656
Arkansas,1116,2016,32,16,16,883,1992,44.32730923694779,216,544,39.705882352941174,519,748,69.38502673796792,374,812,520,357,237,165,687,803,1844,231,644,553,790,349,838,447,457,165,140,659
Arkansas,1116,2017,34,25,9,943,2046,46.089931573802545,222,610,36.39344262295082,605,794,76.19647355163728,385,848,479,399,256,161,700,851,2027,252,758,562,797,427,802,428,445,168,111,644
Arkansas,1116,2018,34,23,11,985,2063,47.746000969461946,265,661,40.09077155824508,522,770,67.79220779220779,346,836,492,374,212,157,687,843,1969,290,818,592,816,386,832,462,476,162,125,662
Arkansas St,1117,2014,30,17,13,747,1685,44.332344213649854,267,692,38.58381502890173,515,714,72.12885154061625,281,753,401,376,201,85,543,771,1786,187,576,465,645,346,763,346,388,187,87,610
Arkansas St,1117,2015,28,10,18,630,1563,40.30710172744722,156,487,32.03285420944559,358,515,69.51456310679612,302,689,301,378,145,85,482,693,1625,184,556,380,564,336,714,330,332,186,75,469
Arkansas St,1117,2016,29,9,20,709,1733,40.91171379111368,170,539,31.539888682745826,509,695,73.23741007194245,313,838,349,384,137,127,575,758,1867,245,688,484,710,380,804,382,318,189,90,618
Arkansas St,1117,2017,31,19,12,790,1725,45.79710144927536,211,559,37.74597495527728,455,716,63.547486033519554,335,782,381,397,159,80,630,740,1698,189,591,485,710,297,745,401,400,171,124,634
Arkansas St,1117,2018,30,9,21,771,1783,43.241727425687046,217,653,33.2312404287902,421,592,71.11486486486487,336,663,311,396,195,82,556,861,1739,227,594,430,610,304,774,445,399,171,111,559
Army,1119,2014,30,14,16,777,1741,44.62952326249282,226,669,33.78176382660688,396,567,69.84126984126983,338,660,423,390,178,127,549,791,1703,202,518,437,601,333,719,405,411,220,99,550
Army,1119,2015,29,14,15,743,1699,43.73160682754561,213,661,32.22390317700454,372,544,68.38235294117646,306,685,410,387,178,103,600,750,1638,169,474,446,667,315,724,408,383,203,105,545
Army,1119,2016,31,18,13,833,1954,42.63050153531218,277,825,33.57575757575758,438,630,69.52380952380952,379,885,471,426,150,112,595,867,1947,189,538,418,628,322,838,394,378,219,103,611
Army,1119,2017,31,12,19,809,1839,43.991299619358344,276,786,35.11450381679389,339,514,65.95330739299611,297,855,496,464,167,57,602,821,1847,217,642,428,622,271,830,425,391,227,119,527
Army,1119,2018,29,12,17,787,1774,44.3630214205186,281,738,38.075880758807585,283,434,65.2073732718894,290,727,479,390,163,78,578,742,1649,245,677,451,628,277,782,400,409,191,105,454
Auburn,1120,2014,30,14,16,723,1656,43.65942028985507,172,554,31.04693140794224,526,730,72.05479452054794,330,692,349,363,183,134,645,695,1615,219,566,546,787,343,710,417,381,174,108,613
Auburn,1120,2015,34,14,20,729,1815,40.16528925619835,247,705,35.0354609929078,591,886,66.70428893905192,341,720,356,439,228,85,695,862,1832,199,598,539,767,372,893,437,495,227,150,738
Auburn,1120,2016,31,11,20,724,1819,39.802089059923034,272,799,34.04255319148936,472,747,63.186077643908966,346,788,352,428,166,126,660,832,1877,232,667,525,752,376,893,441,403,190,122,656
Auburn,1120,2017,32,18,14,861,1969,43.72778059928898,289,789,36.628643852978456,562,836,67.22488038277513,369,802,421,434,236,162,672,861,1972,273,765,551,765,400,848,436,482,197,94,725
Auburn,1120,2018,32,25,7,868,1977,43.90490642387456,312,852,36.61971830985915,620,789,78.58048162230672,388,833,462,392,238,173,636,786,1849,258,729,516,710,328,786,410,488,197,105,661
Austin Peay,1122,2014,28,10,18,731,1524,47.965879265091864,141,421,33.4916864608076,507,752,67.42021276595744,276,633,397,435,191,148,490,794,1692,216,596,438,590,343,656,450,405,219,95,597
Austin Peay,1122,2015,28,6,22,615,1542,39.88326848249027,140,466,30.042918454935624,423,641,65.99063962558502,333,617,331,397,177,107,492,718,1501,210,544,417,577,255,713,388,388,222,90,548
Austin Peay,1122,2016,33,16,17,844,1837,45.94447468698966,205,588,34.863945578231295,573,855,67.01754385964912,366,818,425,480,228,91,582,913,1969,287,788,431,611,346,786,482,442,239,93,702
Austin Peay,1122,2017,28,9,19,732,1596,45.86466165413534,209,594,35.18518518518518,469,654,71.7125382262997,230,624,289,352,144,70,515,876,1775,249,673,384,524,348,719,449,358,162,79,578
Austin Peay,1122,2018,30,16,14,775,1735,44.668587896253605,184,516,35.65891472868217,418,629,66.45468998410175,374,653,375,422,179,86,601,752,1594,220,588,465,644,277,705,372,462,168,122,628
Ball St,1123,2014,28,3,25,596,1471,40.51665533650578,180,572,31.46853146853147,428,626,68.370607028754,339,663,342,479,126,63,587,730,1561,149,450,494,709,289,657,388,312,244,103,539
Ball St,1123,2015,29,6,23,631,1519,41.54048716260698,223,664,33.58433734939759,375,538,69.70260223048327,292,644,357,408,150,68,561,697,1497,176,493,438,630,258,682,358,344,216,99,517
Ball St,1123,2016,31,18,13,747,1681,44.43783462224866,264,714,36.97478991596638,403,591,68.18950930626058,284,828,449,410,165,115,597,697,1713,209,605,459,654,298,759,350,345,197,65,573
Ball St,1123,2017,32,20,12,864,1879,45.98190526875998,289,769,37.581274382314696,488,675,72.29629629629629,313,886,485,476,188,113,633,828,1968,248,694,523,724,357,795,385,411,241,105,634
Ball St,1123,2018,31,18,13,829,1846,44.90790899241603,239,704,33.94886363636363,432,613,70.47308319738988,313,860,440,410,163,106,539,818,1912,252,689,417,574,326,803,402,372,214,111,589
Baylor,1124,2014,33,22,11,825,1841,44.81260184682238,244,635,38.425196850393704,541,804,67.28855721393035,468,794,479,389,168,187,579,808,1892,224,611,417,618,389,672,506,340,176,93,622
Baylor,1124,2015,32,23,9,766,1765,43.39943342776204,224,586,38.225255972696246,456,684,66.66666666666667,464,769,461,396,257,123,535,694,1716,183,616,359,555,358,642,486,395,203,128,579
Baylor,1124,2016,32,21,11,858,1852,46.32829373650108,198,530,37.35849056603774,528,726,72.72727272727273,434,743,547,410,247,127,621,775,1730,217,585,461,658,300,645,564,431,210,125,639
Baylor,1124,2017,31,24,7,799,1712,46.67056074766355,205,580,35.3448275862069,417,586,71.160409556314,393,773,480,416,159,151,548,692,1738,188,598,382,528,326,590,403,339,165,111,570
Baylor,1124,2018,31,17,14,841,1820,46.20879120879121,191,545,35.04587155963303,436,589,74.02376910016977,366,811,444,419,172,134,565,757,1830,232,700,404,564,338,670,447,366,175,136,560
Belmont,1125,2014,32,23,9,863,1723,50.08705745792223,281,713,39.410939691444604,537,732,73.36065573770492,261,713,490,414,212,75,675,812,1768,215,623,545,785,364,698,411,451,233,98,669
Belmont,1125,2015,31,21,10,799,1685,47.41839762611276,306,808,37.87128712871287,383,555,69.009009009009,289,743,471,426,197,61,510,801,1780,225,656,348,493,311,703,412,395,204,110,592
Belmont,1125,2016,30,19,11,862,1742,49.48335246842709,316,869,36.36363636363637,434,601,72.21297836938436,258,780,520,425,135,70,603,824,1861,225,646,490,682,349,723,391,364,216,95,621
Belmont,1125,2017,27,21,6,721,1525,47.278688524590166,270,802,33.66583541147132,359,465,77.20430107526882,219,713,433,344,120,69,475,677,1568,162,509,377,505,241,637,302,309,151,81,484
Belmont,1125,2018,33,24,9,901,1853,48.62385321100918,378,1005,37.61194029850746,382,517,73.88781431334623,258,875,529,410,161,82,531,836,1943,228,680,384,521,302,766,380,382,202,90,572
Bethune-Cookman,1126,2014,30,5,25,626,1592,39.321608040201006,204,570,35.78947368421053,387,543,71.2707182320442,333,577,282,372,181,73,638,687,1502,179,507,570,802,364,713,396,372,181,142,503
Bethune-Cookman,1126,2015,30,9,21,573,1463,39.166097060833906,146,501,29.14171656686627,419,590,71.01694915254237,340,623,235,412,158,77,586,615,1445,163,493,470,670,323,648,328,379,185,99,535
Bethune-Cookman,1126,2016,30,12,18,732,1799,40.689271817676484,230,740,31.08108108108108,378,557,67.86355475763015,373,726,332,384,167,183,569,789,1811,221,638,428,625,403,792,459,374,163,85,547
Bethune-Cookman,1126,2017,30,8,22,774,1880,41.170212765957444,213,660,32.27272727272727,351,531,66.10169491525424,371,685,410,379,212,84,623,834,1773,215,640,476,709,383,828,499,420,162,118,498
Bethune-Cookman,1126,2018,30,16,14,826,1891,43.68059227921734,219,701,31.24108416547789,547,779,70.21822849807445,390,850,453,476,184,112,635,834,1942,218,648,524,742,373,794,465,411,196,108,640
Binghamton,1127,2014,30,7,23,591,1554,38.03088803088803,182,569,31.985940246045693,476,687,69.28675400291121,312,658,282,428,184,60,596,724,1601,244,634,448,654,315,759,442,394,222,104,605
Binghamton,1127,2015,30,5,25,584,1481,39.432815665091155,153,500,30.6,390,590,66.10169491525424,266,653,252,413,165,73,540,711,1577,227,606,361,533,315,748,401,388,191,69,572
Binghamton,1127,2016,30,8,22,629,1614,38.971499380421314,171,599,28.547579298831387,398,584,68.15068493150685,273,748,333,419,161,68,558,728,1675,204,606,399,575,297,810,397,371,211,84,553
Binghamton,1127,2017,29,9,20,668,1586,42.11853720050441,213,619,34.41033925686591,339,489,69.32515337423312,234,708,337,362,146,70,499,745,1636,217,607,361,527,277,760,406,333,172,92,488
Binghamton,1127,2018,29,9,20,705,1636,43.09290953545232,215,617,34.84602917341977,312,490,63.673469387755105,265,720,328,358,151,118,501,729,1623,218,563,375,526,262,760,410,331,165,79,462
Boise St,1129,2014,32,19,13,827,1827,45.265462506841814,240,659,36.41881638846738,507,670,75.67164179104478,346,733,372,316,178,65,623,769,1702,208,589,496,704,264,712,364,359,146,112,596
Boise St,1129,2015,31,23,8,750,1654,45.34461910519951,270,690,39.130434782608695,396,544,72.79411764705883,264,745,363,317,185,72,534,677,1615,178,571,357,509,261,694,332,383,145,96,520
Boise St,1129,2016,30,18,12,771,1724,44.7215777262181,239,733,32.605729877216916,499,705,70.78014184397163,281,734,392,348,189,61,594,753,1661,223,619,428,611,251,753,371,430,160,104,637
Boise St,1129,2017,29,18,11,735,1633,45.00918554807104,236,663,35.59577677224736,484,675,71.70370370370371,275,747,360,366,142,70,612,707,1639,166,486,513,700,266,713,340,338,173,133,588
Boise St,1129,2018,30,22,8,821,1775,46.25352112676056,282,744,37.903225806451616,400,542,73.80073800738008,296,852,394,402,166,64,532,741,1742,212,647,374,508,193,720,383,349,181,87,522
Boston College,1130,2014,31,7,24,689,1551,44.42295293359123,239,680,35.14705882352941,513,690,74.34782608695652,256,653,379,344,137,83,593,804,1714,178,470,518,711,353,690,383,298,170,92,579
Boston College,1130,2015,32,13,19,743,1667,44.57108578284343,207,638,32.44514106583072,412,584,70.54794520547945,263,720,421,389,183,86,607,742,1682,177,529,496,688,321,746,397,391,170,106,569
Boston College,1130,2016,32,7,25,717,1751,40.94802969731582,231,713,32.398316970546986,294,452,65.04424778761062,243,754,410,431,181,93,579,796,1732,224,587,440,641,302,872,467,419,234,109,504
Boston College,1130,2017,32,9,23,843,1880,44.840425531914896,256,684,37.42690058479532,378,556,67.98561151079137,292,825,473,467,179,87,597,864,1840,229,647,551,729,263,846,501,398,246,120,527
Boston College,1130,2018,34,19,15,923,2040,45.245098039215684,294,812,36.206896551724135,471,637,73.9403453689168,359,903,485,432,171,108,554,907,2053,303,835,414,555,330,855,467,426,189,103,599
Boston Univ,1131,2014,34,24,10,871,1924,45.270270270270274,271,751,36.085219707057256,417,580,71.89655172413794,328,809,473,404,241,62,577,821,1878,221,630,417,592,345,823,437,466,176,105,550
Boston Univ,1131,2015,29,12,17,646,1439,44.892286309937454,225,610,36.885245901639344,451,647,69.7063369397218,249,661,354,361,156,52,508,715,1572,235,630,376,527,263,635,445,304,154,75,533
Boston Univ,1131,2016,31,17,14,780,1725,45.21739130434783,240,666,36.03603603603604,456,639,71.36150234741784,278,831,405,424,177,119,595,802,1848,221,672,437,634,325,771,430,364,193,76,575
Boston Univ,1131,2017,31,17,14,785,1788,43.903803131991054,262,743,35.26244952893674,416,598,69.56521739130434,311,786,423,444,256,78,596,750,1747,265,726,445,650,313,795,429,455,218,103,538
Boston Univ,1131,2018,30,14,16,769,1663,46.241731809981964,217,582,37.2852233676976,348,546,63.73626373626374,283,709,398,414,223,96,512,779,1709,247,689,373,512,298,716,404,415,192,92,530
Bowling Green,1132,2014,31,11,20,703,1671,42.07061639736685,113,399,28.32080200501253,386,607,63.59143327841845,329,757,358,460,224,168,552,697,1677,191,536,421,645,344,755,397,426,261,107,549
Bowling Green,1132,2015,30,20,10,709,1628,43.55036855036855,203,595,34.11764705882353,381,532,71.61654135338345,317,730,366,356,203,117,511,644,1584,192,592,368,530,304,695,311,385,189,97,535
Bowling Green,1132,2016,32,14,18,781,1786,43.72900335946249,183,517,35.39651837524178,472,716,65.92178770949721,318,826,355,409,191,104,623,811,1852,262,691,462,666,328,814,358,378,195,100,645
Bowling Green,1132,2017,31,12,19,804,1895,42.42744063324538,211,619,34.08723747980614,450,679,66.2739322533137,346,761,374,393,212,82,603,854,1822,228,647,457,624,299,869,407,455,195,124,639
Bowling Green,1132,2018,30,14,16,756,1830,41.31147540983606,219,639,34.27230046948357,492,669,73.54260089686099,347,796,383,384,171,79,536,836,1824,237,653,419,583,286,821,420,367,186,112,600
Bradley,1133,2014,32,12,20,721,1720,41.91860465116279,154,479,32.150313152400834,440,628,70.06369426751593,356,708,306,383,226,84,635,704,1614,206,631,499,700,319,747,399,413,187,107,575
Bradley,1133,2015,32,8,24,606,1641,36.92870201096892,175,582,30.06872852233677,415,621,66.82769726247987,361,691,291,404,211,88,632,650,1501,209,566,479,694,281,767,393,433,195,114,545
